,0,1,2,3,4,5,6
0,117,0,0,4,1,0,0
1,0,61,0,0,0,0,0
2,0,0,60,0,0,0,0
3,1,0,0,96,0,0,0
4,0,0,0,0,49,0,0
5,0,0,0,0,0,52,0
6,0,0,0,0,0,0,53
