,grav_x,grav_y,grav_z,linear_x,linear_y,linear_z,gyro_x,gyro_y,gyro_z
0,0.255194366,6.263040066,7.541850567,0.5650315881,6.622661114,6.340145588,-0.1026253626,-0.1146899462,0.2596940994
1,0.2778942883,6.25787735,7.545333862,0.4979939461,6.744765282,6.625055313,-0.1136209369,0.005039638374,0.2566397488
2,0.2919710279,6.251937866,7.549720287,0.3112462163,6.716034889,6.977003098,-0.1350012124,0.1131627858,0.2419789881
3,0.2973188162,6.244763851,7.55545187,0.1771709323,6.622661114,7.23318243,-0.1527163088,0.1681406647,0.2230421752
4,0.2974015176,6.236628532,7.562160492,0.08140286058,6.569988728,7.314585686,-0.1631010175,0.1345430762,0.2022727579
5,0.2986377776,6.228007317,7.569216728,0.09097966552,6.608295918,7.209240437,-0.1624901593,0.04291328415,0.179059878
6,0.305123657,6.219597816,7.575870991,0.1053448766,6.708852291,7.12065506,-0.141720742,-0.08292495459,0.139964506
7,0.3184691668,6.212939739,7.58078146,0.1197100878,6.737582684,7.130231857,-0.1264491081,-0.09575312585,0.1185842156
8,0.3312698901,6.207731247,7.584500313,0.09097966552,6.730400085,7.180510044,-0.1020144969,-0.06520986557,0.1020908505
9,0.3405670226,6.204617023,7.586636066,0.0718260482,6.71124649,7.19726944,-0.06169738993,-0.01511891466,0.09170614183
10,0.3452583849,6.204726219,7.586335659,-0.0143652102,6.802226067,7.240365028,-0.007941247895,0.04535674304,0.09109527618
11,0.3451899886,6.208943367,7.582886696,-0.0191536136,6.859687328,7.127837658,0.04948008433,0.1052215397,0.09842566401
12,0.3408072591,6.217617512,7.575973034,0.09337386489,6.850110531,7.048829079,0.09101892263,0.1430951804,0.1167516187
13,0.3345534503,6.229460239,7.56651926,0.1388636976,6.754342079,6.921936512,0.1069014147,0.1437060535,0.127747193
14,0.3290911019,6.242413998,7.55607605,0.05267243832,6.754342079,6.807014942,0.09773843735,0.1058324054,0.1198059469
15,0.3261331022,6.254797459,7.545957565,-0.1628057212,6.847716331,6.838139534,0.06841690838,0.0594066456,0.0959822014
16,0.3252399564,6.265031815,7.537496567,-0.4118026793,6.950666904,6.943484306,0.02260201424,0.01725694351,0.06421720982
17,0.3251785934,6.272064209,7.53165102,-0.605733037,7.022492886,6.936301708,-0.05070181563,-0.05849034712,0.04650211707
18,0.328909874,6.273915768,7.529946804,-0.6607996821,7.012916088,6.912359715,-0.08979719132,-0.1281289905,0.0727693215
19,0.3385068476,6.2730546,7.530237198,-0.5339069963,6.92911911,6.933907509,-0.1197295859,-0.1782199293,0.1204168126
20,0.3539481759,6.269936562,7.532128334,-0.3423708379,6.900388718,7.056011677,-0.1307251602,-0.1757764816,0.1729512215
21,0.37186113,6.265864372,7.534654617,-0.1364694983,6.974608898,7.245153427,-0.1105666086,-0.1085812971,0.2193769813
22,0.3874313533,6.26298666,7.536261082,-0.04548983276,7.067982674,7.568370819,-0.06719517708,0.01359175146,0.2523637116
23,0.3962816,6.262794018,7.535961628,-0.02394201607,7.091924667,7.812579632,-0.01527163107,0.1492038369,0.2743548453
24,0.397118032,6.265594482,7.533586502,-0.03830722719,6.979397297,7.872434616,0.03298672289,0.2188424766,0.2859613001
25,0.3943558931,6.270976543,7.529253483,-0.1029506698,6.838139534,7.812579632,0.07696902007,0.2231185287,0.2896264791
26,0.3921642303,6.27882719,7.522819996,-0.1699883193,6.807014942,7.644985199,0.1087340117,0.2035708427,0.2884047627
27,0.3917328417,6.288479328,7.51477766,-0.1436520964,6.902782917,7.515698433,0.1142318025,0.1290452778,0.2725222707
28,0.3959919512,6.298305511,7.506322861,-0.1029506698,7.041646481,7.580341816,0.07635815442,0.04535674304,0.2645809948
29,0.406060338,6.305157185,7.500029564,-0.0287304204,7.048829079,7.690474987,0.01343903504,-0.03344487399,0.2609158158
30,0.4219572842,6.307143211,7.497476578,0.1604115069,7.051223278,7.951443195,-0.04031710699,-0.06582073122,0.2651918828
31,0.4407742321,6.304870129,7.498305798,0.1268926859,7.024887085,8.549993515,-0.09346238524,-0.05665775016,0.2767983079
32,0.4600897431,6.298192024,7.502762318,0.01675941236,6.864475727,9.071929932,-0.1411098689,-0.05115996301,0.2816852331
33,0.4799886346,6.287194252,7.510731697,0.0191536136,6.696881294,9.457395554,-0.1521054506,-0.07070764899,0.2816852331
34,0.502107501,6.274719238,7.519717216,0.1460463107,6.586748123,9.694421768,-0.1191187203,-0.09819658846,0.2920699418
35,0.5277704,6.264259338,7.526676178,0.2801215947,6.476614952,9.675268173,-0.04948008433,-0.1287398487,0.3122285008
36,0.5570181012,6.258842945,7.529075146,0.4740519226,6.316203594,9.273042679,0.04948008433,-0.1488984078,0.3354413807
37,0.5892044902,6.260635376,7.525130272,0.7038952708,6.196493149,8.772654533,0.1539380401,-0.1543961912,0.3494912684
38,0.6227315068,6.270098686,7.514545918,0.9097966552,6.134243965,8.30099678,0.2657263875,-0.1354593635,0.3488804102
39,0.6547887325,6.287808418,7.496999741,1.04147768,6.036081791,7.922712803,0.2816088796,-0.1159116775,0.3329979181
40,0.6844474077,6.306677818,7.478484154,0.988805294,5.933131218,7.743147373,0.2583959997,-0.09819658846,0.2963460088
41,0.7104939818,6.323899269,7.461485386,0.8667010069,5.890035629,7.67850399,0.2211332172,-0.07009678334,0.2474767864
42,0.7310448885,6.338037491,7.447496891,0.672770679,5.894824028,7.764695168,0.1881465018,-0.02489275858,0.2059379518
43,0.7453796864,6.349339962,7.43643856,0.5506663918,5.92355442,7.951443195,0.1618792862,0.0423024185,0.1863902509
44,0.7533242106,6.35832119,7.427960396,0.4884171486,5.825392246,8.066365242,0.1368338168,0.1229366288,0.1888337135
45,0.7553019524,6.365027428,7.422014713,0.4860229492,5.684134007,8.063970566,0.1185078546,0.1718058437,0.2034944892
46,0.7544646263,6.369876862,7.417935848,0.586579442,5.583577633,8.164526939,0.108123146,0.1834122837,0.2138791978
47,0.7532698512,6.373372078,7.415054321,0.4477157295,5.516540051,8.435071945,0.1032362282,0.1803579628,0.2193769813
48,0.7525988221,6.375959396,7.412897587,0.2968810201,5.427954674,8.506897926,0.1123992056,0.1999056488,0.2205987126
49,0.7504904866,6.378754616,7.410704613,0.2609679997,5.291484833,8.437465668,0.1661553532,0.248164013,0.2352594733
50,0.7455369234,6.384919167,7.405892849,0.3806780577,5.104737282,8.391976357,0.196698606,0.2212859392,0.2554180324
51,0.7436074018,6.392560482,7.399493694,0.55784899,4.977844715,8.33930397,0.2138028294,0.1547016203,0.2737439871
52,0.7475765944,6.400431633,7.39228487,0.7326257229,4.906018734,8.142979622,0.2333505303,0.0838412568,0.2767983079
53,0.757054925,6.409088135,7.383815289,0.7661445141,4.879383087,8.013691902,0.2535090744,0.03497203439,0.2603049576
54,0.7692881227,6.418578625,7.374300957,0.7374141216,4.917989731,7.901165009,0.2663372457,0.01298088674,0.2285399586
55,0.7812725306,6.428428173,7.364455223,0.6560112834,5.018546104,7.956231594,0.2663372457,0.01664607786,0.1937206388
56,0.7908753753,6.437745571,7.355285645,0.6488286853,5.085583687,8.032846451,0.2626720667,0.0361937657,0.167453438
57,0.7975295782,6.447253227,7.346233845,0.6895300746,5.174169064,8.092700958,0.2620611787,0.04780020565,0.159512192
58,0.8029343486,6.457015991,7.337069511,0.7517793179,5.198111057,8.056788445,0.2730567753,0.05879577994,0.1564578563
59,0.8074567914,6.467616558,7.327227592,0.6775590777,5.298667431,7.944260597,0.3060434759,0.09422596544,0.1546252668
60,0.8094786406,6.480679512,7.315450668,0.7086837292,5.339369297,7.824550629,0.3158173263,0.1217148975,0.1460731477
61,0.809030652,6.494642735,7.303110123,0.7350199223,5.396830082,7.783848763,0.3054326177,0.1290452778,0.1320232451
62,0.8072811365,6.508123875,7.291288376,0.7972691655,5.483021259,7.752724171,0.290771842,0.1131627858,0.1094212383
63,0.8053510785,6.52087307,7.280103207,0.6991068721,5.578789234,7.700051785,0.2809980214,0.1076650023,0.09170614183
64,0.8028692007,6.533137321,7.269372463,0.4309563041,5.686528206,7.522881031,0.2889392674,0.1443169117,0.07948884368
65,0.7969789505,6.546136856,7.258316517,0.07900865376,5.705681801,7.228394032,0.3109304011,0.2194533348,0.07643451542
66,0.7852542996,6.560988903,7.246175289,-0.1580173075,5.803843975,6.948272705,0.3268128932,0.3135266006,0.0959822014
67,0.7675436139,6.577453136,7.2331357,-0.2035071403,5.937919617,6.862081528,0.3103195429,0.409432441,0.1387427747
68,0.7452502251,6.59335041,7.220983505,-0.2920926213,6.03847599,6.897994518,0.2486221492,0.4882340431,0.1876119822
69,0.7202391028,6.605528831,7.212389946,-0.3591302633,5.969044209,7.130231857,0.1490511149,0.5419901609,0.2370920777
70,0.6943517923,6.610981941,7.209928513,-0.3591302633,5.751171589,7.501333237,-0.03970624134,0.593913734,0.3042872548
71,0.6687477231,6.602835178,7.219808578,-0.2370259613,5.523722649,7.903559208,-0.1551597714,0.5847507715,0.3433826268
72,0.6457961798,6.586100578,7.237160683,-0.1101332754,5.423166275,8.317755699,-0.2309070677,0.5352706909,0.3647629023
73,0.6271805763,6.563291073,7.259487152,-0.0023942017,5.437531471,8.6074543,-0.2577851415,0.4735732675,0.3665955067
74,0.6123796105,6.537537098,7.283944607,0.03112462163,5.456685066,8.705616951,-0.2266310006,0.4265366495,0.3549890518
75,0.5994672179,6.512812138,7.307137966,-0.03112462163,5.48062706,8.502109528,-0.1545489132,0.3880521357,0.3378848433
76,0.5877750516,6.492315769,7.326300621,-0.05506663769,5.51893425,8.030451775,-0.05436700583,0.3654501438,0.3281109929
77,0.5768877268,6.478655338,7.339244843,0.05985504389,5.59554863,7.609072208,0.05009094998,0.361784935,0.3287218511
78,0.5662646294,6.472672939,7.345351219,0.181959331,5.715258598,7.290643215,0.1368338168,0.3911064863,0.3397174478
79,0.5544017553,6.473342896,7.34566164,0.215478152,5.856516838,7.08234787,0.1954768747,0.4534147382,0.351934731
80,0.5394134521,6.47911787,7.341688156,0.1604115069,5.959467411,6.876446724,0.2364048511,0.5474879742,0.3617085814
81,0.5190125108,6.489048958,7.334383011,0.04788403213,6.0001688,6.747159481,0.2364048511,0.5731443167,0.3629303277
82,0.4975120127,6.500166416,7.326024055,-0.0359130241,6.033687592,6.658574104,0.2101376504,0.5804746747,0.3727041483
83,0.4766413569,6.510397911,7.318321705,0.03112462163,6.031293392,6.596324921,0.1649336219,0.566424787,0.3922518492
84,0.4584472477,6.518126488,7.312600613,0.2561795712,6.028899193,6.71124649,0.1105666086,0.5285511613,0.4142429829
85,0.4448126853,6.522540569,7.309508324,0.4046200812,5.992986202,6.850110531,0.05864306539,0.5010622144,0.4331798255
86,0.4348205924,6.523540974,7.30921936,0.490811348,5.930737019,7.077559471,0.01649336144,0.5181664228,0.4521166384
87,0.4251727462,6.521647453,7.311477184,0.5793967843,5.844545841,7.130231857,-0.009773843922,0.5658139586,0.4667774141
88,0.4132598937,6.517838955,7.315552235,0.6224924326,5.882853031,7.084742069,-0.01282817032,0.5798638463,0.4655556679
89,0.4005658329,6.513841152,7.31981802,0.6871358752,5.985803604,7.113472462,-0.0109955743,0.5609270334,0.454560101
90,0.3888418078,6.510081291,7.323793411,0.5650315881,6.141426563,7.360075474,-0.009162978269,0.5554292202,0.4362341464
91,0.3766284883,6.506647587,7.327481747,0.3854664862,6.23001194,7.491756439,0.007941247895,0.6262896061,0.4154647291
92,0.3580982685,6.504509449,7.330307961,0.2657563984,6.316203594,7.60428381,0.03604105115,0.696539104,0.4215733707
93,0.3349392414,6.504313469,7.331575871,0.1699883193,6.395212173,7.532457829,0.07452555746,0.7423539758,0.4392884672
