,precision,recall,f1-score,support
0,0.9915254237288136,0.9590163934426229,0.9749999999999999,122.0
1,1.0,1.0,1.0,61.0
2,1.0,1.0,1.0,60.0
3,0.96,0.9896907216494846,0.9746192893401014,97.0
4,0.98,1.0,0.98989898989899,49.0
5,1.0,1.0,1.0,52.0
6,1.0,1.0,1.0,53.0
accuracy,0.9878542510121457,0.9878542510121457,0.9878542510121457,0.9878542510121457
macro avg,0.9902179176755448,0.9926724450131582,0.991359754177013,494.0
weighted avg,0.9880690317710835,0.9878542510121457,0.9878403270668834,494.0
